gender,age,income,marital_status,immigration_status,education,job_status,country,crime_risk
Male,52.5484939897514,11525.222993636984,Single,citizen,higher,Retired,South_America,0
Female,18.0,8513.063879261812,Single,citizen,secondary,Employed,North_America,1
Male,18.0,9294.18714433301,Single,citizen,higher,Unemployed,Africa,1
Male,54.20961576885388,19742.903491743036,Single,foreigner,primary,Unemployed,Asia,1
Female,40.00649917612705,3509.656319203416,Divorced,foreigner,secondary,Unemployed,South_America,1
Male,18.0,44988.658680901826,Divorced,citizen,primary,Employed,South_America,0
Male,63.74098931193812,3404.8630896888376,Widow/Widower,citizen,higher,Employed,Asia,0
Male,18.0,41267.08577630642,Divorced,citizen,primary,Others,North_America,0
Male,18.0,99589.12196125116,Married,citizen,secondary,Employed,Africa,0
Female,18.0,28786.873123077596,Divorced,citizen,secondary,Unemployed,EU,0
Female,18.0,3500.163624267564,Married,citizen,higher,Retired,Asia,1
Male,22.677292894320786,8132.846349890981,Divorced,citizen,primary,Employed,EU,0
Female,28.376906144265845,13527.286838843847,Divorced,citizen,secondary,Unemployed,Asia,0
Male,37.914324604858386,8378.73298613769,Single,citizen,secondary,Employed,Arab_Middle_East,1
Male,18.0,20168.11322326142,Single,naturalised,primary,Unemployed,South_America,1
Male,24.890111944897157,21349.348830466814,Married,citizen,secondary,Employed,EU,0
Female,56.40691159370057,2129.093457655109,Single,citizen,higher,Unemployed,EU,1
Male,42.92231691213712,63206.94354884583,Single,citizen,higher,Employed,EU,0
Male,18.0,3288.056352001285,Married,naturalised,PhD,Unemployed,South_America,1
Male,23.51163872843426,2602.9471436899344,Married,naturalised,PhD,Unemployed,Asia,0
Male,52.03114354289669,3136.4674834571833,Single,naturalised,primary,Others,EU,0
Male,70.0,26286.852999675906,Married,Asylum_seeker,PhD,Employed,South_America,0
Male,28.279608895379063,2962.0685442188933,Divorced,citizen,primary,Employed,South_America,1
Male,18.0,32684.94628010085,Married,citizen,secondary,Unemployed,Asia,1
Female,18.0,49038.41215342722,Married,citizen,higher,Others,Arab_Middle_East,1
Male,18.0,8422.334608240633,Married,citizen,primary,Employed,South_America,1
Female,63.95844566781026,9406.810383991367,Widow/Widower,naturalised,secondary,Employed,South_America,1
Male,18.0,5016.654894378296,Single,naturalised,secondary,Unemployed,Africa,1
Male,18.0,8558.109724094575,Married,citizen,primary,Employed,EU,1
Male,22.46217131423855,22363.9062621443,Married,citizen,secondary,Retired,Asia,1
Male,18.0,30419.512154461812,Single,citizen,primary,Employed,Asia,0
Female,42.90723658838946,3729.867111863376,Single,citizen,secondary,Unemployed,South_America,1
Male,48.32154323165521,12223.967952362735,Married,citizen,higher,Unemployed,Asia,1
Male,18.0,808.677296122773,Single,foreigner,primary,Employed,EU,1
Female,18.0,36941.14406344118,Single,citizen,higher,Others,Arab_Middle_East,0
Male,18.0,6512.273503427103,Single,citizen,primary,Unemployed,Asia,1
Female,18.0,6255.8927302806305,Single,citizen,primary,Unemployed,Asia,1
Female,34.95928055551884,15240.140000685287,Single,citizen,primary,Unemployed,EU,1
Male,18.0,11314.895047537586,Married,citizen,higher,Employed,Africa,1
Male,70.0,7509.592553310306,Married,citizen,primary,Employed,Asia,0
Male,18.0,13647.601272259024,Single,foreigner,primary,Retired,Africa,1
Male,18.0,21040.74874169458,Widow/Widower,citizen,secondary,Unemployed,Africa,0
Female,18.0,21343.939174450665,Married,citizen,primary,Employed,South_America,0
Male,70.0,29780.726061643556,Married,citizen,higher,Employed,EU,0
Male,18.0,10617.002997282418,Married,citizen,primary,Employed,EU,1
Male,18.0,18840.5561123803,Single,citizen,primary,Unemployed,Arab_Middle_East,1
Male,18.0,67183.0367301206,Married,naturalised,higher,Unemployed,Africa,1
Male,18.0,26223.21236959733,Single,citizen,higher,Unemployed,South_America,1
Female,18.0,15189.697406096191,Widow/Widower,citizen,secondary,Employed,EU,0
Female,18.0,2741.8771637188556,Married,citizen,secondary,Employed,Asia,0
Male,18.0,13065.436653367611,Single,citizen,secondary,Employed,Africa,0
Female,32.28033847283472,7802.660282534307,Divorced,citizen,primary,Employed,Africa,1
Male,18.0,7950.325187216135,Single,citizen,higher,Unemployed,South_America,1
Female,40.23396166844299,3965.640059353345,Married,foreigner,secondary,Unemployed,Africa,1
Male,70.0,34944.89235113433,Widow/Widower,citizen,secondary,Employed,North_America,1
Male,18.0,17575.345283478495,Single,citizen,secondary,Others,EU,1
Male,70.0,11036.79004179036,Married,citizen,PhD,Others,South_America,0
Female,68.02346872638631,19606.18012836182,Single,citizen,secondary,Unemployed,Asia,1
Male,58.27022863898859,10455.071205204367,Single,citizen,secondary,Employed,Asia,0
Male,18.0,14165.217989727495,Single,citizen,secondary,Unemployed,Asia,1
Female,58.69657066948423,4786.636149274614,Divorced,citizen,higher,Employed,EU,0
Male,18.0,14386.680677031527,Single,citizen,secondary,Unemployed,South_America,0
Male,66.85209984722374,16732.2822701398,Single,citizen,PhD,Employed,Asia,0
Male,18.0,10125.707237611932,Married,citizen,secondary,Employed,EU,1
Male,22.09521275719753,17711.06685444409,Widow/Widower,citizen,primary,Employed,South_America,1
Female,70.0,18590.408157235895,Married,citizen,secondary,Employed,South_America,1
Male,33.21081692824698,4954.742210342577,Married,Asylum_seeker,higher,Employed,North_America,1
Male,18.0,4234.5323411277295,Married,Asylum_seeker,primary,Employed,Africa,1
Female,18.0,6426.531410144729,Married,citizen,secondary,Unemployed,Arab_Middle_East,1
Female,18.0,10145.78119542813,Divorced,citizen,secondary,Others,Africa,1
Female,18.0,110434.62755109924,Single,citizen,secondary,Employed,Africa,1
Male,18.0,24046.298227836705,Divorced,citizen,secondary,Employed,Arab_Middle_East,1
Male,43.720216712172935,5393.06446093153,Single,citizen,secondary,Employed,North_America,1
Male,53.63286500744038,26656.10552483912,Married,naturalised,secondary,Employed,South_America,1
Female,18.0,12476.394793738862,Married,citizen,higher,Employed,Asia,0
Male,68.65879457552897,8797.394436623123,Single,citizen,primary,Employed,South_America,0
Male,18.0,40280.557807310266,Married,citizen,secondary,Employed,Asia,0
Male,61.50260645761567,47210.86945483623,Married,citizen,primary,Retired,Asia,0
Male,18.0,11701.771249223084,Married,citizen,primary,Unemployed,Asia,1
Male,25.165525853014213,13520.714566621687,Widow/Widower,citizen,primary,Employed,Arab_Middle_East,0
Male,29.930989954037187,4714.689937350854,Married,citizen,primary,Employed,Africa,1
Female,70.0,35018.75631295423,Single,naturalised,secondary,Employed,South_America,1
Male,18.0,11689.96223030611,Married,citizen,secondary,Employed,EU,1
Male,70.0,5853.993992605161,Single,citizen,higher,Employed,EU,1
Male,70.0,3025.329749556181,Single,citizen,primary,Unemployed,EU,1
Female,18.0,7203.156167562909,Married,citizen,secondary,Retired,EU,0
Female,18.0,13745.702039932637,Single,citizen,secondary,Employed,EU,1
Male,18.0,2846.2744072944647,Widow/Widower,citizen,primary,Employed,Asia,1
Female,28.687178936141205,15761.683775162872,Single,citizen,secondary,Retired,Arab_Middle_East,1
Female,36.52412146240271,28717.99550514381,Single,naturalised,PhD,Employed,EU,1
Male,23.994301239662562,34435.63714571779,Single,citizen,primary,Employed,Asia,0
Female,69.9154965733284,22560.24921090959,Widow/Widower,Asylum_seeker,secondary,Employed,EU,1
Male,55.75133093548236,5588.520976142914,Single,naturalised,secondary,Employed,Africa,0
Male,19.58411404436291,13756.480790222127,Single,citizen,secondary,Unemployed,Asia,1
Female,18.0,86327.45390887525,Married,citizen,primary,Retired,North_America,1
Male,18.0,107027.23867782635,Single,citizen,primary,Unemployed,South_America,0
Female,70.0,14514.182427908843,Married,foreigner,primary,Employed,Africa,1
Male,18.0,4853.653623617747,Divorced,citizen,primary,Unemployed,Africa,1
Male,41.454964886440195,9039.967580961093,Single,citizen,primary,Employed,South_America,1
Male,27.140659156799202,92650.86946331672,Married,citizen,PhD,Unemployed,Arab_Middle_East,0
Female,18.0,21166.84998614974,Married,citizen,primary,Employed,Africa,1
Male,23.816317507875816,64172.628318862044,Divorced,citizen,PhD,Retired,EU,1
Male,32.971353074528885,5442.700657593347,Single,citizen,higher,Unemployed,South_America,0
Female,18.0,2379.56939541023,Married,citizen,higher,Retired,Oceania,0
Female,18.0,4718.531234558234,Married,citizen,secondary,Employed,Africa,0
Female,70.0,2931.9241550463053,Single,Asylum_seeker,PhD,Unemployed,Asia,0
Female,44.611002577165856,55064.19875599108,Married,citizen,primary,Employed,Africa,0
Female,18.0,11509.634148095653,Divorced,citizen,primary,Employed,South_America,0
Male,61.429338537693795,31825.5570683378,Married,citizen,higher,Others,Arab_Middle_East,0
Male,18.0,12181.640784439054,Single,naturalised,secondary,Employed,Africa,1
Male,19.56824400188639,15155.595895043387,Divorced,citizen,secondary,Unemployed,Africa,1
Male,42.54089864131321,3009.378039457785,Married,citizen,higher,Unemployed,Asia,1
Male,18.0,4834.327889533948,Divorced,citizen,higher,Others,EU,1
Male,70.0,12562.852710162912,Married,citizen,secondary,Retired,North_America,1
Male,18.462176520110916,12423.236385022863,Married,citizen,secondary,Employed,Africa,0
Female,18.0,39822.38534244103,Married,citizen,higher,Employed,South_America,0
Male,61.72438016748449,59976.152791505425,Married,citizen,secondary,Employed,Africa,0
Male,70.0,11249.598263051757,Single,citizen,PhD,Unemployed,South_America,1
Male,70.0,22618.493106461818,Married,foreigner,higher,Others,South_America,0
Male,18.0,2346.1112318215096,Divorced,citizen,higher,Unemployed,Asia,1
Male,65.12278831307746,4181.120459628006,Single,citizen,higher,Employed,EU,1
Male,18.0,18146.223990199098,Single,naturalised,higher,Others,North_America,0
Male,18.0,6401.119575863729,Divorced,foreigner,secondary,Employed,Asia,1
Male,66.50550593086109,17637.086687086015,Single,naturalised,PhD,Employed,Africa,1
Female,70.0,4408.078905898629,Married,foreigner,PhD,Employed,North_America,1
Male,18.0,32151.852661884426,Single,citizen,secondary,Employed,Africa,1
Male,40.66402037265503,20961.78423620361,Married,citizen,secondary,Employed,South_America,0
Male,62.048101136760756,24249.986292672635,Single,citizen,PhD,Employed,South_America,0
Male,18.0,8844.22255970954,Single,citizen,secondary,Unemployed,EU,1
Male,49.778455669686146,8390.19444616638,Married,citizen,secondary,Employed,Arab_Middle_East,0
Male,47.21759823737761,9269.869255123287,Married,citizen,secondary,Employed,Asia,0
Male,18.0,19392.815578520513,Married,citizen,higher,Unemployed,EU,1
Male,18.0,13533.549722150823,Single,foreigner,higher,Unemployed,Arab_Middle_East,1
Male,18.0,4589.9986823403715,Married,foreigner,primary,Unemployed,Africa,1
Female,18.0,7598.847118154788,Married,citizen,higher,Others,Africa,0
Female,60.02001289121988,5348.583873684284,Divorced,citizen,secondary,Unemployed,EU,0
Male,18.0,14499.201164151204,Married,naturalised,secondary,Others,Asia,0
Male,36.92429878062891,39346.89254203446,Divorced,naturalised,secondary,Employed,South_America,1
Male,61.016220920831486,30234.281718566763,Single,citizen,secondary,Unemployed,EU,1
Male,27.83906784199659,11842.505157036505,Married,citizen,primary,Employed,South_America,0
Male,18.0,8370.698486500014,Married,citizen,PhD,Employed,EU,1
Female,18.0,31558.223433932126,Married,citizen,secondary,Unemployed,Africa,1
Male,18.0,55542.79830545545,Married,naturalised,secondary,Unemployed,Africa,0
Male,42.1305038564538,106725.73411011454,Married,citizen,PhD,Unemployed,Africa,1
Male,31.4361895540654,4957.623708959017,Married,naturalised,secondary,Employed,Asia,0
Male,18.0,8842.832016726255,Divorced,naturalised,primary,Employed,Asia,1
Female,30.412982577700912,10429.073373321897,Divorced,citizen,secondary,Employed,EU,0
Female,18.0,1391.2562642205755,Widow/Widower,citizen,secondary,Others,Africa,1
Female,21.571726845392007,5794.714168782954,Divorced,citizen,primary,Employed,Oceania,0
Male,18.0,44700.58141052799,Divorced,naturalised,higher,Employed,Asia,1
Male,37.979042610646054,3382.644870568853,Married,citizen,primary,Employed,EU,0
Male,56.71470403728034,3026.9186985735973,Married,citizen,primary,Employed,Asia,1
Male,59.0672751552061,13021.625361910923,Married,citizen,primary,Employed,South_America,0
Female,18.0,18910.38252579378,Divorced,citizen,secondary,Employed,EU,0
Female,24.197565080616123,18550.05527337969,Divorced,citizen,higher,Retired,EU,0
Female,18.0,3524.2010526789118,Divorced,citizen,secondary,Unemployed,South_America,1
Male,70.0,19645.185750159217,Married,citizen,PhD,Others,EU,0
Male,18.0,4698.963502556418,Married,citizen,secondary,Others,EU,1
Male,41.113450697572716,50598.6891971172,Married,naturalised,secondary,Employed,EU,0
Male,18.0,39881.51259660829,Married,citizen,primary,Unemployed,Africa,1
Female,23.508400481127143,44871.93386740408,Single,citizen,secondary,Unemployed,Asia,0
Male,46.222593600342194,9243.037358689835,Married,citizen,primary,Unemployed,North_America,1
Male,57.99582741192717,7588.307747735854,Single,citizen,secondary,Unemployed,Arab_Middle_East,0
Male,18.150620869920807,23342.65698537956,Married,citizen,primary,Others,South_America,1
Male,65.96885736013587,58199.738081424286,Married,Asylum_seeker,secondary,Employed,EU,0
Female,51.6940061957814,5098.5196103950175,Single,naturalised,higher,Employed,Africa,1
Female,26.240109645528886,17933.79353048927,Divorced,foreigner,PhD,Employed,South_America,1
Female,18.0,18677.272654148434,Married,foreigner,secondary,Unemployed,EU,0
Male,18.0,11394.617012585539,Married,citizen,higher,Employed,North_America,1
Male,18.0,6363.332941967234,Single,citizen,primary,Employed,EU,1
Female,70.0,23190.926210224636,Married,naturalised,secondary,Retired,South_America,0
Male,37.336664931378785,4237.681423944997,Single,citizen,secondary,Employed,EU,1
Male,20.309746387510707,15039.775012635011,Married,citizen,PhD,Others,Asia,0
Female,26.9799544680231,23654.396828588036,Married,citizen,higher,Employed,North_America,0
Male,18.0,5053.220114778853,Married,naturalised,secondary,Employed,Africa,1
Male,18.0,6963.423008028917,Married,foreigner,higher,Unemployed,EU,1
Male,18.0,69177.04212636457,Married,citizen,higher,Retired,South_America,1
Male,35.64848786285707,12354.501801789422,Married,naturalised,primary,Employed,Africa,0
Male,18.0,24112.42157827631,Married,Asylum_seeker,higher,Unemployed,Africa,0
Male,36.47776888143216,13653.199326607892,Single,citizen,secondary,Unemployed,Arab_Middle_East,1
Male,18.0,24080.880892136393,Single,naturalised,secondary,Employed,South_America,1
Female,55.67360954330921,7385.5816513325035,Married,citizen,secondary,Employed,South_America,1
Female,58.194650873763635,26773.57556699582,Married,foreigner,higher,Unemployed,North_America,1
Male,42.054656071902684,5080.572536776902,Single,citizen,higher,Employed,Africa,0
Male,18.0,18770.101266632788,Single,foreigner,primary,Employed,Asia,1
Male,70.0,16599.659422076624,Married,citizen,higher,Retired,EU,1
Female,44.27184966855644,6081.430155927852,Single,citizen,higher,Others,Asia,1
Male,46.360574005269385,8695.646250935037,Divorced,citizen,secondary,Employed,Asia,1
Male,28.514326944891003,34374.65292555155,Single,citizen,higher,Employed,EU,0
Male,21.081647485460095,4316.086644225886,Divorced,citizen,secondary,Employed,EU,0
Female,70.0,41195.841588287825,Divorced,naturalised,primary,Employed,South_America,1
Male,57.67041129760976,3946.5791650458787,Single,citizen,higher,Unemployed,Africa,1
Female,18.0,19902.2985054758,Married,citizen,secondary,Unemployed,EU,0
Male,18.0,11946.433790960313,Married,citizen,secondary,Retired,Asia,0
Female,18.0,8038.380623832013,Single,citizen,PhD,Retired,Asia,0
Female,18.0,14464.873557051043,Married,citizen,primary,Employed,Asia,0
Male,18.0,16494.144956180124,Married,citizen,PhD,Retired,Africa,1
Male,70.0,20653.00327484011,Single,citizen,primary,Employed,Asia,0
Male,18.0,84086.9183522481,Single,citizen,higher,Others,Asia,0
Male,54.18067217378548,2444.7708607177533,Single,naturalised,secondary,Employed,Asia,0
Female,42.81540879771208,10415.552510517025,Married,citizen,primary,Employed,EU,0
Female,57.20688330285674,29299.522691245442,Single,citizen,PhD,Employed,South_America,0
Female,18.0,30439.23697716608,Divorced,citizen,PhD,Employed,Africa,0
Male,18.0,24020.79567995405,Married,citizen,primary,Unemployed,EU,0
Male,18.0,54735.575538793026,Divorced,citizen,higher,Employed,EU,1
Male,53.38793274763258,4905.863032866425,Widow/Widower,citizen,primary,Employed,Africa,1
Female,42.45134123477388,4852.10431507917,Married,citizen,primary,Employed,Africa,1
Female,18.0,31140.471368317827,Divorced,citizen,higher,Employed,Africa,0
Female,70.0,9221.504602428879,Married,citizen,secondary,Employed,EU,0
Male,70.0,42495.10570279493,Divorced,naturalised,higher,Employed,Arab_Middle_East,1
Female,70.0,131683.57955517227,Single,naturalised,higher,Unemployed,Asia,1
Male,18.0,34051.42720293129,Married,citizen,primary,Unemployed,North_America,1
Female,21.3624047996192,18426.57381484304,Single,citizen,higher,Retired,EU,0
Male,18.0,26334.129354377623,Married,citizen,secondary,Employed,Asia,1
Female,43.7337336886038,19296.002541519396,Widow/Widower,citizen,secondary,Employed,North_America,0
Female,18.0,36573.53405178377,Married,naturalised,primary,Unemployed,Africa,1
Male,38.71858717301487,17276.777140261733,Divorced,citizen,PhD,Employed,EU,0
Male,18.0,29755.955903822596,Divorced,citizen,secondary,Employed,South_America,0
Male,18.272307263219737,8142.776792665293,Single,citizen,PhD,Employed,Africa,1
Female,18.0,14030.557733410213,Single,citizen,secondary,Retired,Arab_Middle_East,1
Female,18.0,76907.69322749798,Married,citizen,PhD,Others,Asia,1
Male,50.724515309846964,48587.09385443386,Married,naturalised,secondary,Unemployed,Africa,1
Female,18.0,16337.844163720496,Divorced,citizen,primary,Unemployed,South_America,1
Female,19.408320456588307,46331.39453288547,Single,naturalised,secondary,Employed,Arab_Middle_East,0
Male,18.0,11219.971767047491,Single,citizen,higher,Others,Africa,1
Male,18.0,12739.312325446563,Single,foreigner,primary,Employed,EU,1
Female,18.0,180396.30232436306,Married,naturalised,secondary,Retired,Africa,0
Male,18.0,3709.174112405338,Married,citizen,secondary,Employed,South_America,1
Male,18.553013363982696,3635.7255834254865,Single,foreigner,higher,Others,EU,0
Male,18.0,21941.041082208976,Married,citizen,higher,Unemployed,Asia,1
Male,18.0,12071.940568294665,Widow/Widower,citizen,primary,Retired,Asia,1
Male,18.0,2008.0887758952742,Single,citizen,secondary,Employed,South_America,1
Female,57.645334614731944,7914.223515099523,Single,naturalised,higher,Employed,Asia,0
Female,32.67790679323232,36545.53410049956,Single,foreigner,PhD,Retired,EU,0
Male,57.69682078823938,59508.301413650246,Single,naturalised,secondary,Employed,Arab_Middle_East,1
Male,18.0,13070.554471471423,Married,naturalised,higher,Unemployed,South_America,1
Female,18.97572487755211,8201.560405676075,Married,naturalised,secondary,Unemployed,EU,0
Female,30.430616796541507,14436.030066332618,Married,citizen,secondary,Employed,South_America,0
Female,18.0,4320.571430924229,Single,naturalised,higher,Employed,Africa,1
Male,18.0,22784.426112502177,Married,naturalised,primary,Others,EU,1
Male,18.0,12185.109524553813,Divorced,citizen,primary,Others,EU,0
Male,18.0,3200.1400506794175,Married,citizen,secondary,Employed,EU,0
Male,63.56870042369823,11727.812079046573,Divorced,citizen,higher,Unemployed,EU,1
Male,70.0,60319.83909359456,Married,foreigner,secondary,Employed,Africa,0
Female,18.0,19774.92967870246,Single,naturalised,primary,Employed,Africa,1
Female,70.0,23332.735817476732,Single,citizen,PhD,Employed,South_America,0
Male,47.8745442230974,144683.19126663136,Single,citizen,PhD,Employed,Asia,0
Female,29.60090858602652,43489.15590525679,Divorced,citizen,primary,Employed,South_America,1
Male,18.0,20405.250977485968,Single,citizen,secondary,Unemployed,EU,0
Male,18.0,28859.632091615666,Widow/Widower,citizen,primary,Employed,Arab_Middle_East,1
Male,36.386048350026414,21274.303837877706,Married,citizen,secondary,Unemployed,South_America,0
Female,38.856868829512386,85431.52200482685,Single,Asylum_seeker,secondary,Employed,Africa,1
Female,18.0,77505.48660912433,Single,citizen,secondary,Unemployed,Arab_Middle_East,1
Male,18.0,4611.0214549999555,Single,foreigner,higher,Employed,Arab_Middle_East,1
Male,18.0,8428.055490210603,Divorced,citizen,PhD,Unemployed,Asia,1
Male,18.329685324153473,36811.17741408343,Single,citizen,PhD,Employed,South_America,1
Male,30.281922242749424,14326.68416326088,Married,citizen,secondary,Unemployed,Arab_Middle_East,0
Male,18.0,24889.539999984063,Married,naturalised,secondary,Employed,Asia,1
Male,18.0,7429.522485875932,Single,citizen,secondary,Unemployed,South_America,1
Male,69.2708045900706,46956.04226081507,Divorced,citizen,PhD,Others,Arab_Middle_East,1
Male,18.0,21797.847968264716,Single,citizen,higher,Employed,Arab_Middle_East,1
Female,44.998496145309794,16817.966594956226,Single,citizen,PhD,Employed,Africa,0
Female,35.298984578305905,22253.45504389145,Single,citizen,primary,Retired,Arab_Middle_East,0
Male,44.607255888374965,7422.362485974208,Divorced,Asylum_seeker,secondary,Employed,Arab_Middle_East,0
Male,18.0,172815.89704332367,Single,citizen,secondary,Employed,EU,0
Male,18.0,12786.332536678778,Single,citizen,primary,Employed,Arab_Middle_East,1
Male,35.650925236298846,8367.6363087362,Divorced,citizen,PhD,Unemployed,Asia,1
Female,18.0,18671.539929812465,Single,citizen,higher,Unemployed,Arab_Middle_East,0
Female,18.0,38457.854402814555,Married,citizen,primary,Employed,Africa,0
Male,55.879310855323,6201.120747759718,Married,citizen,higher,Employed,North_America,0
Male,19.933749968197645,17937.04108860931,Single,foreigner,higher,Employed,Africa,1
Male,18.786042760580514,18240.974547039536,Married,citizen,primary,Unemployed,EU,1
Female,70.0,4496.761878764707,Single,Asylum_seeker,primary,Retired,North_America,0
Female,18.0,10512.895876146124,Widow/Widower,citizen,PhD,Employed,Asia,0
Female,35.80306483236956,29863.073756908434,Single,citizen,higher,Unemployed,South_America,0
Female,70.0,3563.8965006504145,Single,citizen,higher,Employed,South_America,0
Female,30.70780900181411,15930.487443009413,Single,citizen,primary,Employed,EU,0
Male,33.69965631106839,2079.2680578197915,Single,citizen,secondary,Employed,Africa,1
Female,34.736106282331434,3901.890461381422,Widow/Widower,citizen,secondary,Employed,EU,1
Female,24.156168075774264,8531.701765521842,Single,citizen,primary,Unemployed,Africa,1
Male,18.0,7909.570703760368,Married,citizen,secondary,Employed,Arab_Middle_East,0
Male,43.01016056990627,20608.1563030351,Divorced,citizen,secondary,Employed,EU,1
Male,18.0,3020.7590950500344,Single,citizen,secondary,Unemployed,EU,1
Male,58.11439991712402,73823.91926701783,Married,citizen,PhD,Unemployed,Asia,1
Male,68.71981710681247,5753.704994628192,Single,citizen,secondary,Employed,South_America,1
Female,18.0,20696.29148933918,Single,citizen,primary,Employed,Asia,1
Female,18.0,11262.968694205547,Single,citizen,higher,Unemployed,Africa,1
Male,19.51820722137564,1925.0380512712647,Single,citizen,primary,Employed,Asia,1
Male,18.0,14181.07234102947,Divorced,citizen,PhD,Retired,South_America,0
Male,22.456605226819732,34295.70840791726,Married,naturalised,secondary,Others,EU,1
Female,27.903350461565537,6670.126129334645,Married,citizen,secondary,Employed,Asia,1
Female,18.0,4617.671590480458,Single,citizen,primary,Unemployed,Asia,0
Female,18.0,6347.597855636189,Single,foreigner,secondary,Employed,Africa,0
Male,22.11554389868658,18098.656862424672,Divorced,citizen,secondary,Employed,Oceania,0
Male,18.0,5240.060306581659,Divorced,citizen,secondary,Unemployed,South_America,1
Male,26.390141374296718,97751.42560554609,Single,citizen,primary,Employed,Arab_Middle_East,1
Female,23.364791500411627,2813.2829988717635,Divorced,foreigner,secondary,Retired,Africa,1
Male,38.99449458845274,27746.14081198971,Divorced,citizen,higher,Employed,EU,1
Male,40.02948688392503,32268.090494390457,Widow/Widower,citizen,higher,Employed,North_America,0
Female,23.356614940413824,10760.789908087987,Single,citizen,higher,Employed,EU,0
Male,42.86004868253497,24228.151460308854,Married,citizen,secondary,Unemployed,Asia,1
