gender,age,income,marital_status,immigration_status,education,job_status,depression
Male,59.38224459701509,71708.40934335401,Single,citizen,PhD,Retired,0
Non-binary,61.91529441774644,6922.92962293418,Single,citizen,higher,Unemployed,1
Female,18.0,16851.270612981716,Single,citizen,secondary,Employed,1
Female,59.67686708499825,12620.86100145591,Married,foreigner,primary,Employed,1
Male,32.84207055267561,8711.258597022585,Married,citizen,secondary,Employed,0
Male,57.85463305474179,17605.74615221439,Married,citizen,secondary,Employed,0
Male,43.97330261000376,11033.179573471805,Married,citizen,higher,Retired,0
Female,45.43163346121498,22250.584820556538,Married,citizen,secondary,Employed,0
Female,42.22353525868172,22510.60328142321,Single,citizen,secondary,Employed,0
Female,63.181938063502294,13398.99015031577,Divorced,foreigner,primary,Employed,1
Male,26.406179812124577,16376.28146301557,Married,citizen,primary,Retired,0
Non-binary,54.117605081025125,18312.164150320983,Married,citizen,secondary,Retired,1
Female,61.51995247334325,42103.108325116635,Divorced,foreigner,secondary,Retired,0
Male,55.74510120810616,19560.284317616894,Divorced,citizen,secondary,Employed,0
Male,79.87048371485126,42606.469743058704,Married,citizen,higher,Employed,0
Male,37.06579855912952,35194.68609020847,Married,citizen,primary,Retired,0
Male,59.359572338902964,34794.846214847814,Single,citizen,secondary,Employed,0
Female,43.4086404698787,66854.69261666044,Single,citizen,higher,Employed,0
Male,63.50109114529005,8995.568050554613,Married,citizen,secondary,Employed,0
Male,44.88466506417946,15084.960226355348,Single,naturalised,secondary,Employed,0
Female,39.181863272062955,90277.09387111815,Single,citizen,secondary,Employed,0
Male,64.59108305807443,17928.49811932924,Married,foreigner,secondary,Retired,0
Male,37.62657091471605,2316.704656105783,Single,citizen,primary,Employed,1
Male,23.809113616491658,18725.19693366328,Married,citizen,primary,Retired,0
Female,37.24729675239257,24537.34751330592,Single,citizen,primary,Retired,0
Female,54.28549419882799,2714.3546497715965,Single,citizen,higher,Employed,0
Male,65.88058127380637,64032.65790188621,Married,citizen,secondary,Employed,0
Female,46.66694062944768,12444.4501186956,Single,citizen,PhD,Employed,1
Female,64.77295600851038,28648.331759275454,Single,naturalised,higher,Retired,0
Male,24.627376177836098,18383.609594833546,Widow/Widower,foreigner,higher,Employed,1
Female,38.35104802773146,7858.247252075101,Married,citizen,higher,Retired,0
Male,40.67137324268848,9354.319482026325,Married,naturalised,primary,Unemployed,1
Male,43.2816085879122,10424.70481187002,Widow/Widower,naturalised,secondary,Others,1
Non-binary,46.26141582375295,52498.37666037574,Single,citizen,PhD,Retired,0
Non-binary,55.36366436088289,19574.235193477733,Divorced,citizen,primary,Employed,0
Female,38.32789742744264,14508.75568853044,Married,foreigner,secondary,Employed,0
Male,47.085430304296885,10428.657974107658,Married,citizen,primary,Employed,0
Male,44.32315664513923,57349.5443367553,Married,foreigner,secondary,Employed,0
Female,31.111651441632752,71065.76664239392,Divorced,citizen,primary,Retired,0
Male,43.29499966377847,56828.606811110854,Divorced,citizen,secondary,Others,1
Male,42.84510705154323,32661.42089763902,Single,citizen,higher,Others,0
Female,42.523791524954305,27774.233947976496,Married,foreigner,primary,Employed,0
Male,45.47639184872176,8326.926884127075,Married,citizen,higher,Employed,0
Non-binary,46.13510310920079,18094.163354192064,Single,citizen,primary,Employed,0
Male,38.515572313390045,12745.223300889707,Single,citizen,primary,Employed,0
Female,64.09072100956897,5113.249099832645,Single,citizen,secondary,Employed,1
Male,27.45779056195475,51309.681437532185,Married,citizen,higher,Retired,0
Female,34.185448372951555,12623.760143760492,Married,citizen,higher,Retired,1
Female,80.0,57339.98775853545,Married,citizen,secondary,Retired,1
Male,29.430129675161552,44595.89621276634,Single,citizen,primary,Employed,0
Non-binary,24.69367987935362,34384.954596452946,Married,citizen,higher,Employed,1
Female,56.01715117501827,35965.20626378993,Divorced,citizen,higher,Retired,0
Non-binary,18.0,13463.652074140851,Single,citizen,primary,Employed,1
Female,41.47089135041342,97370.651121183,Married,citizen,secondary,Retired,0
Female,77.18737387614732,22799.647282622176,Married,naturalised,higher,Employed,0
Non-binary,21.825961167698992,28044.430864822574,Divorced,citizen,primary,Retired,1
Male,18.0,13104.866557564636,Married,citizen,primary,Retired,1
Male,22.512281970634525,10457.427718658984,Married,citizen,secondary,Employed,0
Male,58.47539352520478,32268.177506455268,Divorced,citizen,higher,Retired,0
Male,61.87165079978719,26213.00122818173,Single,citizen,primary,Employed,0
Male,37.31116804532237,11713.743707842617,Single,citizen,higher,Employed,1
Male,55.24818606001603,6969.220248558622,Married,naturalised,higher,Retired,1
Female,65.85382991267984,7974.956954933383,Divorced,naturalised,secondary,Retired,1
Male,71.81019621644738,57348.78712429198,Married,citizen,primary,Others,1
Male,41.30497078230228,13485.85919321239,Married,citizen,PhD,Employed,0
Female,18.0,16795.615739717206,Married,naturalised,secondary,Employed,0
Male,32.6868161638547,70282.08486647619,Married,citizen,secondary,Retired,0
Female,38.59793707597114,8975.730033342263,Widow/Widower,citizen,PhD,Employed,0
Male,41.115918051324144,12312.916833765936,Single,citizen,higher,Retired,0
Non-binary,42.18210898486921,11908.247867787559,Single,citizen,secondary,Employed,0
Female,61.783418968960035,80374.70449324846,Widow/Widower,naturalised,secondary,Retired,0
Male,64.11642640031371,108521.84851211477,Married,citizen,primary,Retired,0
Male,42.42489519112825,40185.060666332334,Married,citizen,PhD,Retired,0
Female,61.47727314077728,41221.19230075345,Single,naturalised,higher,Retired,0
Female,50.36492049946634,13845.5062117051,Single,citizen,secondary,Employed,0
Female,45.96758959293857,104596.23016996961,Married,citizen,higher,Employed,0
Female,58.59816235664945,27286.763319175756,Married,citizen,higher,Employed,0
Male,46.08378072356874,43585.86639621483,Married,citizen,secondary,Employed,0
Male,75.86716765646644,20243.318125731766,Married,citizen,higher,Employed,0
Male,23.423832498081612,17775.456387275444,Married,citizen,secondary,Others,0
Female,37.27243651361974,83319.15949724079,Married,foreigner,higher,Employed,0
Female,43.102216545690744,33920.6395298014,Married,naturalised,primary,Retired,0
Male,51.59179035686986,70340.31391604531,Married,citizen,higher,Others,0
Male,64.01940730654633,27018.106663665174,Married,naturalised,secondary,Employed,0
Male,44.63402149145765,11173.573617708596,Widow/Widower,citizen,primary,Employed,0
Male,23.66655525740689,13812.45021206469,Divorced,citizen,primary,Employed,0
Female,57.637708446825066,23917.65561779143,Single,citizen,higher,Unemployed,0
Female,56.32438149212947,13343.702466368655,Widow/Widower,citizen,secondary,Employed,1
Female,18.0,9081.82890980919,Widow/Widower,citizen,higher,Retired,0
Female,44.942937994938006,57591.693454753266,Married,citizen,secondary,Employed,0
Male,21.147872539795532,14244.183733736521,Married,naturalised,higher,Employed,0
Female,35.03023353746906,24601.290951161915,Widow/Widower,citizen,secondary,Employed,0
Female,31.457866095558003,27914.64866859962,Single,citizen,secondary,Employed,0
Female,57.13897047362978,13759.399915490905,Married,citizen,primary,Retired,0
Female,46.75245261258276,70307.9088607972,Single,citizen,secondary,Others,0
