Group Pair,alphaF=0.05,Hypothesis alphaF=0.05,alphaF=0.1,Hypothesis alphaF=0.1,alphaF=0.15,Hypothesis alphaF=0.15,alphaF=0.2,Hypothesis alphaF=0.2
Africa - Arab/Middle East,"omega=0.0423, FIC=0.153",Fail to reject Ho (Fair),"omega=0.0423, FIC=0.577",Fail to reject Ho (Fair),"omega=0.0423, FIC=0.718",Fail to reject Ho (Fair),"omega=0.0423, FIC=0.788",Fail to reject Ho (Fair)
Africa - Asia,"omega=0.0534, FIC=-0.067",Reject H₀ (Unfair),"omega=0.0534, FIC=0.466",Fail to reject Ho (Fair),"omega=0.0534, FIC=0.644",Fail to reject Ho (Fair),"omega=0.0534, FIC=0.733",Fail to reject Ho (Fair)
Africa - EU,"omega=0.1600, FIC=-2.200",Reject H₀ (Unfair),"omega=0.1600, FIC=-0.600",Reject H₀ (Unfair),"omega=0.1600, FIC=-0.067",Reject H₀ (Unfair),"omega=0.1600, FIC=0.200",Fail to reject Ho (Fair)
Africa - North America,"omega=0.1219, FIC=-1.437",Reject H₀ (Unfair),"omega=0.1219, FIC=-0.219",Reject H₀ (Unfair),"omega=0.1219, FIC=0.188",Fail to reject Ho (Fair),"omega=0.1219, FIC=0.391",Fail to reject Ho (Fair)
Africa - Oceania,"omega=0.1279, FIC=-1.559",Reject H₀ (Unfair),"omega=0.1279, FIC=-0.279",Reject H₀ (Unfair),"omega=0.1279, FIC=0.147",Fail to reject Ho (Fair),"omega=0.1279, FIC=0.360",Fail to reject Ho (Fair)
Africa - South America,"omega=0.0945, FIC=-0.890",Reject H₀ (Unfair),"omega=0.0945, FIC=0.055",Fail to reject Ho (Fair),"omega=0.0945, FIC=0.370",Fail to reject Ho (Fair),"omega=0.0945, FIC=0.527",Fail to reject Ho (Fair)
Arab/Middle East - North America,"omega=0.0795, FIC=-0.591",Reject H₀ (Unfair),"omega=0.0795, FIC=0.205",Fail to reject Ho (Fair),"omega=0.0795, FIC=0.470",Fail to reject Ho (Fair),"omega=0.0795, FIC=0.602",Fail to reject Ho (Fair)
Asia - Arab/Middle East,"omega=0.0110, FIC=0.780",Fail to reject Ho (Fair),"omega=0.0110, FIC=0.890",Fail to reject Ho (Fair),"omega=0.0110, FIC=0.927",Fail to reject Ho (Fair),"omega=0.0110, FIC=0.945",Fail to reject Ho (Fair)
Asia - EU,"omega=0.1067, FIC=-1.133",Reject H₀ (Unfair),"omega=0.1067, FIC=-0.067",Reject H₀ (Unfair),"omega=0.1067, FIC=0.289",Fail to reject Ho (Fair),"omega=0.1067, FIC=0.467",Fail to reject Ho (Fair)
Asia - North America,"omega=0.0685, FIC=-0.370",Reject H₀ (Unfair),"omega=0.0685, FIC=0.315",Fail to reject Ho (Fair),"omega=0.0685, FIC=0.543",Fail to reject Ho (Fair),"omega=0.0685, FIC=0.657",Fail to reject Ho (Fair)
Asia - Oceania,"omega=0.0746, FIC=-0.492",Reject H₀ (Unfair),"omega=0.0746, FIC=0.254",Fail to reject Ho (Fair),"omega=0.0746, FIC=0.503",Fail to reject Ho (Fair),"omega=0.0746, FIC=0.627",Fail to reject Ho (Fair)
Asia - South America,"omega=0.0412, FIC=0.177",Fail to reject Ho (Fair),"omega=0.0412, FIC=0.588",Fail to reject Ho (Fair),"omega=0.0412, FIC=0.726",Fail to reject Ho (Fair),"omega=0.0412, FIC=0.794",Fail to reject Ho (Fair)
