Group Pair,alphaF=0.05,Hypothesis alphaF=0.05,alphaF=0.1,Hypothesis alphaF=0.1,alphaF=0.15,Hypothesis alphaF=0.15,alphaF=0.2,Hypothesis alphaF=0.2
Africa - Arab/Middle East,"omega=0.0092, FIC=0.815",Fail to reject H₀ (Fair),"omega=0.0092, FIC=0.908",Fail to reject H₀ (Fair),"omega=0.0092, FIC=0.938",Fail to reject H₀ (Fair),"omega=0.0092, FIC=0.954",Fail to reject H₀ (Fair)
Africa - Asia,"omega=0.0173, FIC=0.654",Fail to reject H₀ (Fair),"omega=0.0173, FIC=0.827",Fail to reject H₀ (Fair),"omega=0.0173, FIC=0.885",Fail to reject H₀ (Fair),"omega=0.0173, FIC=0.914",Fail to reject H₀ (Fair)
Africa - EU,"omega=0.1170, FIC=-1.341",Reject H₀ (Unfair),"omega=0.1170, FIC=-0.170",Reject H₀ (Unfair),"omega=0.1170, FIC=0.220",Fail to reject H₀ (Fair),"omega=0.1170, FIC=0.415",Fail to reject H₀ (Fair)
Africa - North America,"omega=0.0690, FIC=-0.380",Reject H₀ (Unfair),"omega=0.0690, FIC=0.310",Fail to reject H₀ (Fair),"omega=0.0690, FIC=0.540",Fail to reject H₀ (Fair),"omega=0.0690, FIC=0.655",Fail to reject H₀ (Fair)
Africa - Oceania,"omega=0.0687, FIC=-0.373",Reject H₀ (Unfair),"omega=0.0687, FIC=0.313",Fail to reject H₀ (Fair),"omega=0.0687, FIC=0.542",Fail to reject H₀ (Fair),"omega=0.0687, FIC=0.657",Fail to reject H₀ (Fair)
Africa - South America,"omega=0.0341, FIC=0.317",Fail to reject H₀ (Fair),"omega=0.0341, FIC=0.659",Fail to reject H₀ (Fair),"omega=0.0341, FIC=0.772",Fail to reject H₀ (Fair),"omega=0.0341, FIC=0.829",Fail to reject H₀ (Fair)
Asia - Arab/Middle East,"omega=0.0081, FIC=0.839",Fail to reject H₀ (Fair),"omega=0.0081, FIC=0.919",Fail to reject H₀ (Fair),"omega=0.0081, FIC=0.946",Fail to reject H₀ (Fair),"omega=0.0081, FIC=0.960",Fail to reject H₀ (Fair)
Asia - EU,"omega=0.0997, FIC=-0.995",Reject H₀ (Unfair),"omega=0.0997, FIC=0.003",Fail to reject H₀ (Fair),"omega=0.0997, FIC=0.335",Fail to reject H₀ (Fair),"omega=0.0997, FIC=0.501",Fail to reject H₀ (Fair)
Asia - North America,"omega=0.0517, FIC=-0.035",Reject H₀ (Unfair),"omega=0.0517, FIC=0.483",Fail to reject H₀ (Fair),"omega=0.0517, FIC=0.655",Fail to reject H₀ (Fair),"omega=0.0517, FIC=0.741",Fail to reject H₀ (Fair)
Asia - Oceania,"omega=0.0514, FIC=-0.028",Reject H₀ (Unfair),"omega=0.0514, FIC=0.486",Fail to reject H₀ (Fair),"omega=0.0514, FIC=0.657",Fail to reject H₀ (Fair),"omega=0.0514, FIC=0.743",Fail to reject H₀ (Fair)
EU - Arab/Middle East,"omega=0.1078, FIC=-1.156",Reject H₀ (Unfair),"omega=0.1078, FIC=-0.078",Reject H₀ (Unfair),"omega=0.1078, FIC=0.281",Fail to reject H₀ (Fair),"omega=0.1078, FIC=0.461",Fail to reject H₀ (Fair)
EU - North America,"omega=0.0480, FIC=0.040",Fail to reject H₀ (Fair),"omega=0.0480, FIC=0.520",Fail to reject H₀ (Fair),"omega=0.0480, FIC=0.680",Fail to reject H₀ (Fair),"omega=0.0480, FIC=0.760",Fail to reject H₀ (Fair)
EU - Oceania,"omega=0.0484, FIC=0.033",Fail to reject H₀ (Fair),"omega=0.0484, FIC=0.516",Fail to reject H₀ (Fair),"omega=0.0484, FIC=0.678",Fail to reject H₀ (Fair),"omega=0.0484, FIC=0.758",Fail to reject H₀ (Fair)
North America - Arab/Middle East,"omega=0.0598, FIC=-0.196",Reject H₀ (Unfair),"omega=0.0598, FIC=0.402",Fail to reject H₀ (Fair),"omega=0.0598, FIC=0.601",Fail to reject H₀ (Fair),"omega=0.0598, FIC=0.701",Fail to reject H₀ (Fair)
Oceania - Arab/Middle East,"omega=0.0594, FIC=-0.189",Reject H₀ (Unfair),"omega=0.0594, FIC=0.406",Fail to reject H₀ (Fair),"omega=0.0594, FIC=0.604",Fail to reject H₀ (Fair),"omega=0.0594, FIC=0.703",Fail to reject H₀ (Fair)
Oceania - North America,"omega=0.0003, FIC=0.993",Fail to reject H₀ (Fair),"omega=0.0003, FIC=0.997",Fail to reject H₀ (Fair),"omega=0.0003, FIC=0.998",Fail to reject H₀ (Fair),"omega=0.0003, FIC=0.998",Fail to reject H₀ (Fair)
South America - Arab/Middle East,"omega=0.0249, FIC=0.502",Fail to reject H₀ (Fair),"omega=0.0249, FIC=0.751",Fail to reject H₀ (Fair),"omega=0.0249, FIC=0.834",Fail to reject H₀ (Fair),"omega=0.0249, FIC=0.876",Fail to reject H₀ (Fair)
South America - Asia,"omega=0.0168, FIC=0.663",Fail to reject H₀ (Fair),"omega=0.0168, FIC=0.832",Fail to reject H₀ (Fair),"omega=0.0168, FIC=0.888",Fail to reject H₀ (Fair),"omega=0.0168, FIC=0.916",Fail to reject H₀ (Fair)
South America - EU,"omega=0.0829, FIC=-0.658",Reject H₀ (Unfair),"omega=0.0829, FIC=0.171",Fail to reject H₀ (Fair),"omega=0.0829, FIC=0.447",Fail to reject H₀ (Fair),"omega=0.0829, FIC=0.585",Fail to reject H₀ (Fair)
South America - North America,"omega=0.0349, FIC=0.302",Fail to reject H₀ (Fair),"omega=0.0349, FIC=0.651",Fail to reject H₀ (Fair),"omega=0.0349, FIC=0.767",Fail to reject H₀ (Fair),"omega=0.0349, FIC=0.826",Fail to reject H₀ (Fair)
South America - Oceania,"omega=0.0345, FIC=0.309",Fail to reject H₀ (Fair),"omega=0.0345, FIC=0.655",Fail to reject H₀ (Fair),"omega=0.0345, FIC=0.770",Fail to reject H₀ (Fair),"omega=0.0345, FIC=0.827",Fail to reject H₀ (Fair)
