alphaF,Group Pair,ω,FIC,Tier
0.05,Africa - South America,0.03413277448625274,0.31734451027494526,Questionable
0.05,Africa - Asia,0.017293981278978188,0.6541203744204362,Acceptable
0.05,Africa - EU,0.1170416843825014,-1.340833687650028,Unacceptable
0.05,Africa - Oceania,0.06867357994118561,-0.3734715988237123,Unacceptable
0.05,Africa - North America,0.0690232302908359,-0.38046460581671804,Unacceptable
0.05,Africa - Arab/Middle East,0.009239292255776799,0.815214154884464,Optimum
0.05,South America - Asia,0.01683879320727455,0.663224135854509,Acceptable
0.05,South America - EU,0.08290890989624866,-0.6581781979249732,Unacceptable
0.05,South America - Oceania,0.03454080545493288,0.30918389090134246,Questionable
0.05,South America - North America,0.034890455804583165,0.3021908839083367,Questionable
0.05,South America - Arab/Middle East,0.02489348223047594,0.5021303553904812,Acceptable
0.05,Asia - EU,0.09974770310352321,-0.9949540620704642,Unacceptable
0.05,Asia - Oceania,0.051379598662207426,-0.027591973244148527,Unacceptable
0.05,Asia - North America,0.051729249011857714,-0.034584980237154284,Unacceptable
0.05,Asia - Arab/Middle East,0.008054689023201389,0.8389062195359722,Optimum
0.05,EU - Oceania,0.048368104441315785,0.03263791117368431,Questionable
0.05,EU - North America,0.0480184540916655,0.039630918166690066,Questionable
0.05,EU - Arab/Middle East,0.1078023921267246,-1.156047842534492,Unacceptable
0.05,Oceania - North America,0.00034965034965028785,0.9930069930069942,Optimum
0.05,Oceania - Arab/Middle East,0.059434287685408815,-0.1886857537081763,Unacceptable
0.05,North America - Arab/Middle East,0.0597839380350591,-0.19567876070118206,Unacceptable
0.1,Africa - South America,0.03413277448625274,0.6586722551374726,Acceptable
0.1,Africa - Asia,0.017293981278978188,0.8270601872102181,Optimum
0.1,Africa - EU,0.1170416843825014,-0.17041684382501399,Unacceptable
0.1,Africa - Oceania,0.06867357994118561,0.31326420058814386,Questionable
0.1,Africa - North America,0.0690232302908359,0.309767697091641,Questionable
0.1,Africa - Arab/Middle East,0.009239292255776799,0.907607077442232,Optimum
0.1,South America - Asia,0.01683879320727455,0.8316120679272545,Optimum
0.1,South America - EU,0.08290890989624866,0.17091090103751339,Questionable
0.1,South America - Oceania,0.03454080545493288,0.6545919454506712,Acceptable
0.1,South America - North America,0.034890455804583165,0.6510954419541684,Acceptable
0.1,South America - Arab/Middle East,0.02489348223047594,0.7510651776952406,Optimum
0.1,Asia - EU,0.09974770310352321,0.002522968964767891,Questionable
0.1,Asia - Oceania,0.051379598662207426,0.48620401337792574,Questionable
0.1,Asia - North America,0.051729249011857714,0.48270750988142286,Questionable
0.1,Asia - Arab/Middle East,0.008054689023201389,0.9194531097679861,Optimum
0.1,EU - Oceania,0.048368104441315785,0.5163189555868422,Acceptable
0.1,EU - North America,0.0480184540916655,0.519815459083345,Acceptable
0.1,EU - Arab/Middle East,0.1078023921267246,-0.078023921267246,Unacceptable
0.1,Oceania - North America,0.00034965034965028785,0.9965034965034971,Optimum
0.1,Oceania - Arab/Middle East,0.059434287685408815,0.40565712314591185,Questionable
0.1,North America - Arab/Middle East,0.0597839380350591,0.40216061964940897,Questionable
0.15,Africa - South America,0.03413277448625274,0.7724481700916483,Optimum
0.15,Africa - Asia,0.017293981278978188,0.8847067914734787,Optimum
0.15,Africa - EU,0.1170416843825014,0.21972210411665727,Questionable
0.15,Africa - Oceania,0.06867357994118561,0.5421761337254292,Acceptable
0.15,Africa - North America,0.0690232302908359,0.5398451313944272,Acceptable
0.15,Africa - Arab/Middle East,0.009239292255776799,0.9384047182948213,Optimum
0.15,South America - Asia,0.01683879320727455,0.8877413786181697,Optimum
0.15,South America - EU,0.08290890989624866,0.4472739340250089,Questionable
0.15,South America - Oceania,0.03454080545493288,0.7697279636337808,Optimum
0.15,South America - North America,0.034890455804583165,0.7673969613027789,Optimum
0.15,South America - Arab/Middle East,0.02489348223047594,0.834043451796827,Optimum
0.15,Asia - EU,0.09974770310352321,0.3350153126431785,Questionable
0.15,Asia - Oceania,0.051379598662207426,0.6574693422519504,Acceptable
0.15,Asia - North America,0.051729249011857714,0.6551383399209485,Acceptable
0.15,Asia - Arab/Middle East,0.008054689023201389,0.9463020731786574,Optimum
0.15,EU - Oceania,0.048368104441315785,0.6775459703912281,Acceptable
0.15,EU - North America,0.0480184540916655,0.67987697272223,Acceptable
0.15,EU - Arab/Middle East,0.1078023921267246,0.28131738582183596,Questionable
0.15,Oceania - North America,0.00034965034965028785,0.9976689976689981,Optimum
0.15,Oceania - Arab/Middle East,0.059434287685408815,0.6037714154306079,Acceptable
0.15,North America - Arab/Middle East,0.0597839380350591,0.6014404130996059,Acceptable
0.2,Africa - South America,0.03413277448625274,0.8293361275687363,Optimum
0.2,Africa - Asia,0.017293981278978188,0.9135300936051091,Optimum
0.2,Africa - EU,0.1170416843825014,0.414791578087493,Questionable
0.2,Africa - Oceania,0.06867357994118561,0.6566321002940719,Acceptable
