αF,Group Pair,ω,FIC,Tier
0.05,Male - Female,0.06360946745562124,-0.27218934911242476,Unacceptable
0.05,Male - Non-binary,0.2132576363345594,-3.2651527266911877,Unacceptable
0.05,Female - Non-binary,0.14964816887893817,-1.9929633775787634,Unacceptable
0.1,Male - Female,0.06360946745562124,0.3639053254437876,Questionable
0.1,Male - Non-binary,0.2132576363345594,-1.1325763633455939,Unacceptable
0.1,Female - Non-binary,0.14964816887893817,-0.4964816887893817,Unacceptable
0.15,Male - Female,0.06360946745562124,0.5759368836291917,Acceptable
0.15,Male - Non-binary,0.2132576363345594,-0.42171757556372946,Unacceptable
0.15,Female - Non-binary,0.14964816887893817,0.0023455408070788275,Questionable
0.2,Male - Female,0.06360946745562124,0.6819526627218938,Acceptable
0.2,Male - Non-binary,0.2132576363345594,-0.06628818167279693,Unacceptable
0.2,Female - Non-binary,0.14964816887893817,0.25175915560530915,Questionable
